# INVENTORY: loose fasteners and hardware, NOT fitted tray tools.
# Moved out of tool_list.csv (the manufacturing pocket count) 2026-09-04.
# None of these get a milled tray pocket; they live in D1/D3 as loose stock.
id,name,drawer,kind,shank_d_mm,cut_d_mm,oal_mm,bbox_l_mm,bbox_w_mm,bbox_h_mm,qty,dims_status,socket_note,height_class,silhouette
T027,ER-16 collet nut (M19 thread),D1,block,,,,,,,1,MEASURE,"not resolvable from the photos: only candidate in frame is the tube labelled COLLETS ER16 1/8, which is T014 packaging.",,
T028,Spare carbide inserts for McFly (included set),D1,block,,,,,,,4,MEASURE,not photographed loose. The inserts were installed in the McFly body.,,
T039,M6 x 18mm socket head cap screws (Joinery Stop mounting),D3,block,,,,,,,4,MEASURE,,,
T040,M6 x 20 Socket Head Screws (Essential Clamps mounting),D3,block,,,,,,,4,MEASURE,,,
T041,M6 x 30 Socket Head Screws (Essential Clamps mounting),D3,block,,,,,,,4,MEASURE,,,
T043,Sweepy thumb screws,D3,block,,,,,,,2,MEASURE,,,
T047,M6 Teez-Nutz T-nuts (machine set),D3,block,,,,,,,12,MEASURE,,,
T048,M6 x 16mm bolts (Crush-It kit),D3,block,,,,,,,6,MEASURE,,,
T049,M6 x 20mm bolts (Crush-It kit),D3,block,,,,,,,6,MEASURE,,,
T050,M6 x 25mm bolts (Crush-It kit),D3,block,,,,,,,6,MEASURE,,,
T051,M6 x 30mm bolts (Crush-It kit),D3,block,,,,,,,6,MEASURE,,,
T052,M6 x 35mm bolts (Crush-It kit),D3,block,,,,,,,6,MEASURE,,,
T053,M6 x 40mm bolts (Crush-It kit),D3,block,,,,,,,6,MEASURE,,,
T054,Plastic organizer case (Crush-It Nutz 'n Bolts),D3,block,,,,,,,1,MEASURE,,,
T058,Teez Nutz T-nuts (Crush-It kit),D3,block,,,,,,,12,MEASURE,,,
