id,name,drawer,kind,shank_d_mm,cut_d_mm,oal_mm,bbox_l_mm,bbox_w_mm,bbox_h_mm,qty,dims_status,socket_note,height_class,silhouette,strip,store,hold_mm,status,status_note
T013,"ER16 collet, 1/4in",D1,collet,6.35,,27.5,,,,1,CATALOG,"stepped bore 17.6 x 5 over 13 x 11, upright, nut off",,,COLLETS,collet,,active,
T014,"ER16 collet, 1/8in",D1,collet,3.175,,27.5,,,,1,CATALOG,,,,COLLETS,collet,,active,
T015,"ER16 collet, 3/8in",D1,collet,9.525,,27.5,,,,1,CATALOG,,,,COLLETS,collet,,active,
T016,#101 .125in Ball Endmill,D1,cutter,3.175,3.175,38.1,,,,1,CATALOG,,,,BALL,bore,,active,
T017,#102 .125in Flat Endmill,D1,cutter,3.175,3.175,38.1,,,,1,CATALOG,,,,FLAT,bore,,active,
T018,#201 .25in Flat Endmill,D1,cutter,6.35,6.35,63.5,,,,3,CATALOG,qty 3: starter-pack 2 + the machine's stock #201 (T019 merged 2026-09-11),,,FLAT,bore,,active,
T019,#201 Flat Endmill (machine stock cutter),D1,cutter,,6.35,,,,,1,MEASURE,,,,,,,struck,merged into T018 (same #201; qty there is 3) 2026-09-11
T020,#202 .25in Ball Endmill,D1,cutter,6.35,6.35,63.5,,,,1,CATALOG,,,,BALL,bore,,active,
T021,#251 .25in Downcut Flat Endmill,D1,cutter,6.35,6.35,63.5,,,,1,CATALOG,,,,SHEET,bore,,active,
T022,#301 .50in 90-degree V-bit,D1,cutter,6.35,12.7,50.8,,,,1,CATALOG,,,,V,bore,,active,
T023,#302 .50in 60-degree V-bit,D1,cutter,6.35,12.7,50.8,,,,1,CATALOG,,,,V,bore,,active,
T024,McFly Surfacing Cutter (1/4in shank),D1,cutter,6.35,25.4,47,,,,1,CATALOG,"stands on its shank at the FLAT strip's end, 35 pitch. oal photo-derived 2026-09-03, +/-5%; bore comes off the nominal 6.35 shank.",,,FLAT,bore,,active,
T025,16mm spindle-shaft wrench,D1,captured,,,,145.8,39.4,,1,CAPTURED,captured by the retired collar-trace method 2026-09-04; re-shoot by photo when convenient,10,captures/T025.dxf,,dock,,active,
T026,22mm collet-nut wrench,D1,captured,,,,163.8,49.1,,1,CAPTURED,captured by the retired collar-trace method 2026-09-04; re-shoot by photo when convenient,10,captures/T026.dxf,,dock,,active,
T027,ER-16 collet nut (M19 thread),D1,block,,,,,,,1,MEASURE,,,,,,,struck,Jared 2026-09-11: does not exist as a stored item; the one nut lives on the spindle
T028,Spare carbide inserts for McFly (included set),D1,block,,,,,,,4,MEASURE,,,,,,,struck,"Jared 2026-09-11: the inserts live in the McFly body, nothing loose to store"
T029,2-meter USB cable (removable),D2,bin,,,,,,,1,NONE,"bin pocket, coiled; no capture",,,,loose,,active,
T030,Quick Draw pen holder,D2,captured,,,,103.7,85.0,28,1,CAPTURED,"RESHOOT (Jared 2026-09-21): 3.7mm parallax; phone straight above the sheet centre and higher, the sheet small in the frame",30,captures/T030.dxf,INSTRUMENTS,recess,,active,
T031,"Mobil Vactra Way Oil, 2oz",D2,captured,,,,75.9,28.3,19,1,CAPTURED,"stands in a socket on the INSTRUMENTS strip (was: lies on its side, about 23 diameter)",20,captures/T031.dxf,INSTRUMENTS,socket,28.3x19,active,
T032,Assembly hex keys / assembly tools,D2,hex,,,,,,,1,MEASURE,,,,,,,struck,"merged into T034 2026-09-11: one set of six keys in the drawer photos, not two sets"
T033,Jog Pendant,D2,captured,,,,223.2,65.3,35,1,CAPTURED,"TABLOID sheet; pendant only, not the cable. RESHOOT (Jared 2026-09-21): shot too close for a 35mm-tall tool, up to 7.6mm parallax; phone straight above the sheet centre and higher, the sheet small in the frame, tags still readable",40,captures/T033.dxf,,dock,,active,
T034,Metric Allen (hex) key set,D2,captured,,,,,,,1,MEASURE,loose L-keys; no pocket cut for this row,,,,,,struck,"Jared 2026-09-21: loose Allen set scrapped, no loose-parts pocket; replaced by the most-used T-handle sizes, one row and one pocket each, captured one per sheet"
T035,Pipettes,D2,bin,,,,,,,6,NONE,bin pocket; no capture,,,,loose,,active,
T036,Silicone O-rings,D2,bin,,,,,,,5,NONE,bin pocket; no capture,,,,loose,,active,
T037,Brush dust-boot base (polycarbonate),D2,captured,,,,156.5,74.7,39.81,1,CAPTURED,"moved D3 -> D2 2026-09-11. RULED 2026-09-21: clear polycarbonate, capture on the WHITE sheet with a pen trace (magenta fails clear bodies); hardware stays ATTACHED; body 39.81 = T038, slot 40; brushes proud, 54.23 overall, flex",40,captures/T037.dxf,BOOTS,recess,,active,
T038,"Brush-free dust-boot base (polycarbonate, for visibility)",D2,captured,,,,156.5,74.7,39.81,1,CAPTURED,"moved D3 -> D2 2026-09-11. RULED 2026-09-21: clear polycarbonate, capture on the WHITE sheet with a pen trace (magenta fails clear bodies); hardware stays ATTACHED; measured height 39.81mm, gauge slot 40",40,captures/T038.dxf,BOOTS,recess,,active,
T039,M6 x 18mm socket head cap screws (Joinery Stop mounting),D3,case,,,,,,,4,NONE,lives in the T054 organizer case,,,,case,,active,
T040,M6 x 20 Socket Head Screws (Essential Clamps mounting),D3,case,,,,,,,4,NONE,lives in the T054 organizer case,,,,case,,active,
T041,M6 x 30 Socket Head Screws (Essential Clamps mounting),D3,case,,,,,,,4,NONE,lives in the T054 organizer case,,,,case,,active,
T042,Replacement flat jaws (for Crush-It clamps),D3,captured,,,,29.4,25.1,10,4,CAPTURED,capture ONE; four pockets,10,captures/T042.dxf,CRUSH-IT,slot,,active,
T043,Sweepy thumb screws,D3,case,,,,,,,2,NONE,lives in the T054 organizer case,,,,case,,active,
T044,Crush-It Essential Clamps with Serrated Jaws,D3,captured,,,,72.0,25.8,12,4,CAPTURED,"25 wide, 11 above the table when seated. Socket 25.8 x 12 PROVISIONAL off the capture; check against the part before D3 cuts",20,captures/T044.dxf,CRUSH-IT,socket,25.8x12,active,
T045,Crush-It Stops,D3,captured,,,,31.6,29.8,16,4,CAPTURED,capture ONE; four pockets,20,captures/T045.dxf,CRUSH-IT,recess,,active,
T046,Essential Clamps (bundled in Crush-It set),D3,block,,,,,,,4,MEASURE,,,,,,,struck,merged into T056 2026-09-11 (same part C3D-EC; T056 qty 14)
T047,M6 Teez-Nutz T-nuts,D3,case,,,,,,,24,NONE,lives in the T054 organizer case; T058 merged in 2026-09-11 (12 + 12),,,,case,,active,
T048,M6 x 16mm bolts (Crush-It kit),D3,case,,,,,,,6,NONE,lives in the T054 organizer case,,,,case,,active,
T049,M6 x 20mm bolts (Crush-It kit),D3,case,,,,,,,6,NONE,lives in the T054 organizer case,,,,case,,active,
T050,M6 x 25mm bolts (Crush-It kit),D3,case,,,,,,,6,NONE,lives in the T054 organizer case,,,,case,,active,
T051,M6 x 30mm bolts (Crush-It kit),D3,case,,,,,,,6,NONE,lives in the T054 organizer case,,,,case,,active,
T052,M6 x 35mm bolts (Crush-It kit),D3,case,,,,,,,6,NONE,lives in the T054 organizer case,,,,case,,active,
T053,M6 x 40mm bolts (Crush-It kit),D3,case,,,,,,,6,NONE,lives in the T054 organizer case,,,,case,,active,
